,Unnamed: 0,Type Of Traveller,Seat Type,Route,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Value For Money,Recommended,reviews,stars,date,country,verified,Sentiment,Analysis
1051,1054,Solo Leisure,Economy Class,Chicago to London,1.0,1.0,1.0,1.0,1,0,chicago london cancelled flight hour left home put different flight would made impossible make connecting flight finally put different flight way home first flight american airline second british airway booking able check get seat american airline flight redirected every time website couldnt check british airway flight middle seat uncomfortable always check hour guarantee seat ba wouldnt allow,4,2019-04-10,United Kingdom,True,-0.505,Negative
1052,1055,Family Leisure,Economy Class,London to Bangalore,3.0,1.0,1.0,2.0,3,0,london bangalore worst experience flew infant daughter ande cabin crew extremely rude surprised way heat milk daughter found food portion meagre sufficient child also british airway sad every sense term,10,2019-04-06,India,True,-0.8524,Negative
1053,1056,Solo Leisure,Economy Class,Hamburg to Abu Dhabi via Heathrow,1.0,3.0,2.0,3.0,4,0,hamburg abu dhabi via heathrow h flight hamburg heathrow like flying budget carrier free service everything purchased inflated price heathrow usual chaos use f lounge due one world status massive lounge crowded charm food quality cafeteria toilet filthy one worst lounge ive seen boarding orderly well organized boeing ife screen broken seat uncomfortable narrow service food quality average flight abu dhabi heathrow delayed almost hour due late arrival flight crew something never experieinced rest journey uneventful overall rather disappointing experience ba compete middle eastern carrier,5,2019-04-01,Germany,True,-0.8402,Negative
1054,1057,Couple Leisure,Economy Class,London to Seville,2.8635249250885315,3.2397484964461456,2.7078152753108347,4.0,4,1,london seville following mistakenly booking return flight ba despite previous confirmed booking competitor quickly called ba resolve issue understood problem gave full refund agent exceptionally helpful phone provided quick answer solution problem dont believe airline would accepted reasoning however great see ba treat customer care,6,2019-04-01,United Kingdom,True,0.9099,Positive
1055,1058,Family Leisure,Business Class,Doha to Paris via London,5.0,4.0,2.0,4.0,3,1,doha paris via london first time using ba since october nothing changed reversible business class seat little storage space still comfortable business caught ba left behind poor entertainment selection limited food choice compare business leader like cathay qatar airway route ba charge price qatar airway delivers much poorer product though service ok personal alright better check luggage policy bag kg superior generous still use look forward rolling new business class,9,2019-04-01,Qatar,True,0.9325,Positive
1056,1059,Couple Leisure,Business Class,Madrid to London,3.0,5.0,5.0,4.0,4,1,madrid london ba couldnt better service long time since flew club europe amazing experience welcome aboard excellent service food stephen one flight attendant attentive happy help probably made best short haul flight experience long time well done crew flight,2,2019-03-29,United Kingdom,True,0.9678,Positive
1057,1060,Couple Leisure,Economy Class,Tokyo to London,2.0,3.0,1.0,3.0,2,0,flight tokyo separated wife even though honeymoon thanks return felt like hour easyjet flight one meal one half meal limited drink small seat im foot knee touched seat front mediocre,5,2019-03-28,United Kingdom,True,0.5423,Positive
1058,1061,Solo Leisure,Economy Class,London to Vancouver ,3.0,5.0,4.0,4.0,4,1,london vancouver check agent helpful searching seat option smooth process disappointment receptionist gallery lounge rude unhelpful redeemed board crew excellent throughout flight best british airway tradition friendly helpful attentive food great par economy airline wine better many airline aircraft clean reasonably well maintained older ife selection good,6,2019-03-23,United Kingdom,True,0.9786,Positive
1059,1062,Solo Leisure,First Class,London to Mumbai ,4.0,5.0,2.0,4.0,4,1,first class zone heathrow concorde lounge good service board excellent direction cabin layout unimpressive food nothing write home screen small poor resolution enjoyed flight direction mainly service first compare well middle eastern asian airline ba business class poor either fly economy lucky try fly first,10,2019-03-23,United Kingdom,True,0.7351,Positive
1060,1063,Business,First Class,London to Chicago ,2.0,2.0,1.0,2.0,2,0,miserable experience first class london chicago requested special meal available complained customer relation simply said bad insulted offering k mile bathroom lacked amenity found service barebones angled suite private stretched foot hit metal band middle foot rest video screen small must stowed away min landing cabin crew never asked wanted available press call button flight entertainment poor,3,2019-03-21,United States,True,-0.8834,Negative
1061,1064,Solo Leisure,Economy Class,Leeds Bradford to Las Vegas via Heathrow,3.0,5.0,3.0,5.0,3,1,leeds bradford la vega via heathrow customer service handling question never answered three time asked explain cost one checked bag caused fare increase outbound flight increase increase announced short lba lhr fare asked fare much could booked seat bag response everyone else never could explain fare increased indicated one checked bag asked speak someone never responded book lhr la time one bag included customer service apparently understand asking answer provided nonresponsive,1,2019-03-19,United Kingdom,True,0.7906,Positive
1062,1065,Solo Leisure,First Class,Dallas to London Heathrow,2.0,1.0,3.0,3.0,1,0,dallas london heathrow first class worst experience flight crew indifferent unresponsive treated like nuisance even le service called first class crew get tourist class airline attitude service crew abysmal average food wine offer rather outdated cabin first class least prioritize service competitive advantage full paying customer nothing waste money doubt much go back british airway,1,2019-03-19,Norway,True,0.4102,Neutral
1063,1066,Couple Leisure,Economy Class,Tenerife to Heathrow,1.0,4.0,1.0,2.0,1,0,tenerife heathrow effectively budget airline masquerading premium airline price flown several budget airline past offered far term value money service seat rigid felt leaning forward majority flight tried put seat back recline estimate moved around degree leg room also non existent m food ran halfway hour flight although cabin crew apologetic food run lunchtime flight inexcusable highlight badly airline managed upper echelon furthermore several budget airline airport flight leaving directly terminal requiring bussing passenger ba move save money opt bussing passenger far reach airport avoid paying extra charge utilising direct access airport terminal cant fault staff onboard clearly dedicated ba brand professional friendly courteous clear british airway airline hope passenger begin vote foot drastic change needed bring airline back former glory,1,2019-03-18,United Kingdom,True,0.9791,Positive
1064,1067,Business,Economy Class,London Heathrow to Larnaca Cyprus,2.0,3.0,1.0,1.0,1,0,heathrow larnaca departed time flight nearly full m food available passenger ran cabin crew half way aisle larnaca heathrow two message received larnaca airport flight would delayed hourdeparture supposed pm took nearer pm second message food served flight recognise meet standard expect u flight hour longso combination delayed departure food available board totally unacceptable worse budget airline midnight arrival heathrow compounded loading cargo passenger balance problem addition incorrectly charged eur return leg case clearly case travlled cyprus system identified extra baggage cattle class rated description service offered customer saving grace cabin crewparticularly customer service managerwho promised follow baggage issue logged complaint take age resolve helpful pleasant throughout british airway offer poor product expect people keep flying beyond,3,2019-03-16,United Kingdom,True,-0.376,Negative
1065,1068,Couple Leisure,Business Class,Los Angeles to London,4.0,5.0,5.0,4.0,5,1,los angeles london enjoyable comfortable flight new recliner seat set ba raised game provides superior seat make relaxed flight travelling solo retractable divider give privacy neighbour problem xx layout one many seat across leaf two narrow gangway aisle seat turn right section business class constantly whacked unintentionally economy section passenger carryons boarding food drink excellent course served separately wine bottle frequently produced flight attendant gave great service passenger entertainment choice also excellent film choice everyone thanks also two people u forget flight crew got u safely heathrow minute early put plane gently hardly noticed arrived well done ba providing good product service,10,2019-03-14,United Kingdom,True,0.9886,Positive
1066,1069,Solo Leisure,Economy Class,London to Phoenix,2.0,5.0,5.0,1.0,2,0,london phoenix ba yesterday plane supposed land however landed missed connecting flight ontario california aboard american airline time able go custom pick luggage already flight departs went ground crew american airline told able make connecting flight already runway directed british airway went ground attendant british airway told go back american airline get booked went back american airline told back british airway since one caused delay went back british airway american airline supervisor british airway attendant gave card customer service number told call morning offer explanation anything american airline said booked tomorrow morning offer accommodation ended getting car rental drove phoenix california middle night since able resolve issue airline,7,2019-03-14,United States,True,-0.128,Negative
1067,1070,Business,Business Class,San Francisco to London,2.8635249250885315,3.2397484964461456,2.7078152753108347,2.7686892390211195,1,0,san francisco london paying flight cancel wouldnt allow change date change name wouldnt give avios point wont flight,10,2019-03-13,United Kingdom,True,-0.3952,Negative
1068,1071,Solo Leisure,Economy Class,Rome to London,5.0,4.0,1.0,5.0,5,1,rome london one best european airline travel short haul flight online website clear easy use checkin procedure smooth gate close shopping area boarding flight well organised quick airbridge negative aspect need pay drink dont serve anything free european route,2,2019-03-13,United Kingdom,True,0.6121,Positive
1069,1072,Business,Economy Class,Cologne to Gatwick,3.0,2.0,2.7078152753108347,1.0,2,0,cologne gatwick economy class silver status ba card online checkin available ba website suggests passenger arrive airport hour flight departure airport checkin available option start hour departure lounge available lounge terminal open airline customer except ba priority boarding business elite level passenger boarding plane bus even free water board economy,7,2019-03-12,United Kingdom,True,0.5106,Positive
1070,1073,Couple Leisure,Economy Class,Tampa to Gatwick,2.0,2.0,2.0,1.0,1,0,tampa gatwick paid seat bumped business class got airport wouldnt let flight someone side messed booked seat instead honoring seat sat hour telling cant anything cant get plane waited till last second check period closed reissue ticket wont reimburse seat paid never received,8,2019-03-11,United States,True,0.2263,Neutral
1071,1074,Business,Economy Class,London Heathrow to Madrid ,5.0,5.0,2.7078152753108347,5.0,5,1,london heathrow madrid travel lhr regularly british airway proved reliable service good quality frequent traveler ive able use priority boarding also managed get exit row seat airline good providing tangible benefit silver member lounge heathrow terminal also good provides good selection food refreshment bar well stocked also good selection soft drink available im happy airline service would definitely recommend british airway keep guy,2,2019-03-09,United Kingdom,True,0.9788,Positive
1072,1075,Couple Leisure,Business Class,Gatwick to St Lucia,2.0,1.0,1.0,3.0,1,0,gatwick st lucia return recently returned two week holiday wife caribbean th birthday celebration ticket bought august decided spoil club class return flown premium economy arrived airport told wed downgraded premium economy due overbooking apologetic ground staff defending indefensible apology plane fuming way back london exacerbated hopeless cabin staff service tea asked coffee filthy food complained return ba exec club webiste response customer service day later ba claim overbooking rare occurrence gave lukewarm apology evidence ground staff journey contradicts seems standard occurrence peak season booked early probably relatively cheap seat ba presumably made money selling ticket higher bidder general quality ba service food wine fallen dramatically last year ba effectively low cost airline flying fleet tired aircraft trying preserve gloss quality airline accountant may win short term passenger vote foot avoid airline possible final insult booking premium seat ba get charge pre reserve club premium economy ba laugh flying public performance dont deserve stay business,6,2019-03-09,United Kingdom,True,-0.8555,Negative
1073,1076,Business,Economy Class,London to Austin,4.0,5.0,3.0,5.0,4,1,many year since flew long haul british airway pleasantly surprised recent flight ba staff used offhand inhospitable thats changed time arriving london heathrow staff really friendly helpful similarly flight attendant couldnt enough requested tomato juice worcester sauce attendant made special trip rear get way back asked tonic water offered go get seating newer plane allows knee room even though im ft in headrest slid high enough entertainment system though little quirky operation menu system compared slickness cathay pacific nevertheless good range movie tv watch flight ended arriving time despite delay heathrow way pilot kept u cheerfully informed going food quality reasonable standard cathay pacific rather let filled croissant breakfast thought bit mean overall pleasant flight thanks ba competition hotting ba try harder,1,2019-03-08,United Kingdom,True,0.9822,Positive
1074,1077,Family Leisure,Business Class,London to Pisa,1.0,4.0,2.0,3.0,1,0,london heathrow pisa return wife fly route time year home tuscany sometimes pay long advance get decent price pay using avios return trip latter miserable rip business class seat world seen last minute flight route high return ba ashamed reason fly product get business class lounge direction seating front plane speedy exit new meal quite good free really free booze seat biggest con three seat two dumb table middle unless front row leg room disaster way nice tomato mozzarella salad wine way back ploughman lunch okayish year old businessman one worked globally career u japan middle east sold business year ago one largest plcs country think know bit running company know could lot better current board ba last week away read ba posted well excess one billion profit last year oh surprise thats clear objective director would club europe id make best europe seat would larger like arm chair configuration would nice centre table charge port phoneslaptops headset tv screen mainly news movie flight hour extra leg room behind row nice cutlery glasschina ware hot meal id probably sell flight build value guy profit follow oldest dictum book give credit credit due way back ground captain announced possible technical problem starboard aileron aviation buff loseley understood problem figured really big deal clearly passenger worried duff plane picked took initiative take relaxed walk length plane asking anyone concern question one two answered concern calm thoughtful way explained taking precautionary measure nice chap took hour later fixed everything fine fa direction good,2,2019-03-07,United Kingdom,True,0.9906,Positive
1075,1078,Couple Leisure,Economy Class,Edinburgh to Boston via London,1.0,2.0,1.0,1.0,1,0,edinburgh boston via london plane ancient need replaced car would antique plate seat uncomfortable worn lumbar support space seatback front face inch really claustrophobic food awful last evening offered choice horrible seat terrible food short connecting flight even offer bottled water m menu expensive offer limited choice meal deal airport convenience drug store offer much better option le half price plane long leg trip last week filthy cabin crew bos lhr lhr edi good one member lhr bos snippy passenger seemed put needing job boarding supposed group disaster people queued well section called made extremely difficult get board british airway become like budget airline charge budget pricing,1,2019-03-04,United States,True,-0.8849,Negative
1076,1079,Couple Leisure,Economy Class,Gatwick to Mauritius,1.0,3.0,2.0,2.0,2,0,gatwick mauritius wife friend booked paid select seat additional legroom adjacent bassinet stowage boarding flight configuration aircraft differed meaning seat row number without additional legroom formal complaint ba met described condescending platitude blank refusal refund seat booking fee feel scam continuing pursue matter trading standard also informed didnt help aircraft delayed hour outward leg filthy dirty return flight numerous ife defect seat recline work also noted number cabin minor airworthiness issue licensed engineer marketing email celebration year service thanked flying hundred thousand mile ba rip nothing return british airway disgrace get act together provide service famed,9,2019-03-03,United Kingdom,True,-0.8016,Negative
1077,1080,Family Leisure,Economy Class,Heathrow to New York,4.0,5.0,5.0,5.0,5,1,flew heathrow nd feb new york min flight noticed tv werent working traveller say cabin crew managed reset working within hour reason reviewing wonderful crew crew flight amazing nothing much trouble thank involved flight,2,2019-03-03,United Kingdom,False,0.8247,Positive
1078,1081,Solo Leisure,Economy Class,Gatwick to Cape Town,1.0,4.0,1.0,4.0,3,0,horrible flight ba gatwick cape town iberia return st find leg room cramp onboard flight entertainment system ba flight time probably last hour flight managed fix system old fashioned movie streamed loop food barely edible coming back iberia entertainment system better food also better seat legroom bad almost bumped connecting flight mad due locker filled another connection make lhr going miss insist let though load passenger led worst flight flown last long haul ba flight,1,2019-03-02,United Kingdom,True,-0.743,Negative
1079,1082,Business,Business Class,New York to Venice via London,1.0,2.0,1.0,1.0,1,0,new york venice via london staff nice around aircraft food assistance information deplorable booked business class first flight overnight jfk heathrow quick mediocre food service gone chair set im staring stranger uncomfortable difficult maneuver instruction didnt wake breakfast sure fill form wanted woken instruction transition ba flight im flight heathrow venice offer coffee water worse business class coach class extra leg room seat middle one blocked person front put seat back knee chest didnt pay international business class get stuck uncomfortable seat long flight wont fly ba,9,2019-02-28,United States,True,-0.8949,Negative
1080,1083,Business,Business Class,Chicago to London Heathrow,1.0,1.0,1.0,1.0,1,0,chicago london heathrow club class british airway without doubt worst airline industry bad enough ba persist using date airplane circa year old b perpetuate dreadful yingyang seating arrangement club class look directly passenger next raise screen privacy midflight crew lower screen serve food leave seat one climb leg sleeping passengerno mean feat dark crew chicago appalling dumped food upon u quickly possible breakfast inedible returned uneaten lounge ohare crowded tiny dirty facility food bar including wilted vegetable cracker cheese insufficient chair single old tv one ba care bad become premium class passenger,2,2019-02-26,United Kingdom,True,-0.9595,Negative
1081,1084,Business,First Class,London to Chicago,1.0,2.0,1.0,1.0,1,0,london chicago could get worse flight chicago equipped usual ancient boeing british airway first class product doesnt come modern business class standard particular flight late food wine simply awful nothing remotely elegant ba first class crew demonstrate sophistication experience like dining worst restaurant chain finally aircraft tired worn flight socalled entertainment system work rebooted twice first class seat bad joke extraordinarily uncomfortable british airway least twenty year date entire first class product said airline woeful concorde first class lounge heathrow filthy dirty desperately need refurbishment,1,2019-02-26,United Kingdom,True,-0.9746,Negative
1082,1085,Family Leisure,Economy Class,Prague to London Heathrow,3.0,1.0,2.7078152753108347,3.0,2,0,prague london heathrow disappointing service cabin crew managed offer drink half cabin two hour flight already delayed payment machine broken staff ran backwards forward nothing seemed available trolley bright said save pay inflated price,10,2019-02-25,United Kingdom,True,-0.3612,Negative
1083,1086,Solo Leisure,Economy Class,London City to Florence,2.8635249250885315,3.2397484964461456,2.7078152753108347,1.0,2,0,london city florence flight around morning got canceled hour moment phone line open call manage rebooking site option reschedule flight couldnt select flight day interestingly able find book another one skyscanner ba day initial flight course couldnt simple show flight reschedule page,1,2019-02-24,United Kingdom,True,0.4019,Neutral
1084,1087,Business,Business Class,London to Johannesburg,2.0,1.0,1.0,4.0,1,0,london johannesburg since aircraft half full looking great flight left time positive point started watching movie young flight attendant approached asked dinner choice told would love gt start read menu told late evening departure pm late predinner drink would served insisted business class half full flight minute later brought tray everything gt first dish main dish dessert never offered wine coffee light turned see flight attendant hour landing passenger business treated complained,9,2019-02-23,South Africa,True,0.9246,Positive
1085,1088,Business,Economy Class,Doha to London Heathrow,3.0,3.0,3.0,3.0,3,1,doha london heathrow flight time completely full aisle seat near back plane without entertainment box way review say last window blanked rear aircraft plane breakfast served ok cabin crew mixed mostly young worked quickly crew uniform still look bit tatty compared rival part world good bad still ba bad called chicken wrap served arrival leathery inedible let poor offering hardly passenger near could eat bad old tissue food wrapper seat pocket good newer aircraft breakfast improved arrived time heathrow remote stand,5,2019-02-22,United Kingdom,True,-0.7033,Negative
1086,1089,Solo Leisure,Premium Economy,Miami to Tel Aviv via London,5.0,5.0,5.0,5.0,5,1,miami tel aviv via london miami airport october pleasure dealing agent professional nice helpful every last detail february calling british airway redeem avios another pleasure dealing patient knowledgeable nice agent explained everything detail great fantastic employee,3,2019-02-20,United States,True,0.9735,Positive
1087,1090,Business,Premium Economy,London to Seoul,5.0,4.0,3.0,2.0,4,1,london seoul normally fly business last minute flight cost club prohibitive thought would give world traveller plus go cabin stylish intimate surprised roomy comfortable seat entertainment system working well although advert every single showing annoying happy headphone small amenity kit felt staff welcoming complaint slightly pointless menu given lunch neither meal listed actually available similar thing happened breakfast three option third appetizing hadnt loaded area ba might want look service good worth price ground service ba please least keep couple desk people check automation put u work,3,2019-02-20,South Korea,True,0.9531,Positive
1088,1091,Family Leisure,Premium Economy,London to New York JFK,4.0,5.0,4.0,5.0,4,1,london heathrow new york jfk bag drop go well lounge gallery north good crowded boarding fine small delay well organised pre take drink better one got club world week previous main meal good pre flight snack average son really liked time arrival good flight cabin crew included older staff mixed fleet crew stand mile thought good flight,10,2019-02-19,United Kingdom,True,0.9531,Positive
1089,1092,Couple Leisure,Business Class,San Diego to London,4.0,1.0,2.0,4.0,2,0,san diego london moment boarded flight due take crew one interest one get cabin light duly achieved two hour later consequence service negligent extreme club world ticket expensive looked forward decent level service however wasnt offered champagne boarding wine meal coffee port meal complained ba got home werent interested met barrage corporate platitude flight disappointing end great trip u mexico left poor view airline,1,2019-02-19,United Kingdom,True,-0.6182,Negative
1090,1093,Business,Business Class,Gatwick to St Lucia,4.0,4.0,4.0,3.0,3,1,gatwick st lucia flew ba new revamped business class today huge improvement old set well lit cabin improved seating comfort better operational entertainment system always hit miss decent food cabin crew worked hard pleasant observed along everyone else falling standard ba moved travel rival airline basis today experience consider future much improved well done,2,2019-02-18,United Kingdom,True,0.9705,Positive
1091,1094,Solo Leisure,Economy Class,London to Chennai,5.0,5.0,5.0,5.0,5,1,london chennai amazing crew friendly food amazing seat comfortable overall amazing flight enjoyed thoroughly,1,2019-02-18,United Kingdom,True,0.969,Positive
1092,1095,Business,Economy Class,London to Tampa,4.0,4.0,4.0,1.0,2,0,london tampa ba broke suitcase make fuss got new one new one large overhead bin return flight suitcase could purchase abroad top new suitcase actually pay ba check new bag cost mistake also shovel customer service company abroad get email month later saying id like know unable offer refund make big fuss airport break stuff avoid black hole call customer service,1,2019-02-15,United States,False,-0.5423,Negative
1093,1096,Couple Leisure,Economy Class,Baltimore to London Heathrow,1.0,1.0,1.0,2.0,2,0,husband flew british airway flight ba baltimore london heathrow leaving th february every aspect flight poorer budget airline offer plane shabby dated seat reclining facility operate properly comfortable le legroom equivalent budget airline touch screen tv monitor working properly one ear bud headphone work audio socket loose headphone plug kept falling making difficult enjoy inflight entertainment dated choice pillow disgusting kept falling flimsy cover air conditioning lacked consistency alternating hot cold air restroom occupied sign always lit vacant even occupied however made flight unpleasant bad attitude cabin crew abrupt unfriendly quite clearly want one exception extremely pleasant older crew member greeted u flight appear organisation smooth coordination distributing meal two tray food placed top practically thrown u sour faced crew member flight one hour late making u nervous catching connecting flight information instruction given u connecting flight gate number landed unlike airline travelled staff member greeting connecting customer point right direction reassure british airway would last choice airline travel would fly option,3,2019-02-15,Spain,True,0.3745,Neutral
1094,1097,Solo Leisure,First Class, Bridgetown to Gatwick,2.0,4.0,3.0,3.0,1,0,bridgetown gatwick couldnt imagine first class ba would travelling business class example qatar emirate etihad singapore thai etc double price cabin seat food equal business class one red wine wine list start left london outbound cabin crew worked well gave splendid service first class ba worth fare complained customer service got home got process upgrading world traveller,3,2019-02-13,Sweden,True,0.6249,Positive
1095,1098,Couple Leisure,Economy Class,London to Athens,3.0,5.0,1.0,1.0,2,0,london athens classic ba love hate relationship one flight perfect another one total disaster problem december heathrow checkin ba checkin baggage management system went least minute total chaos people like arrived airport hour flight queuing others arriving minute prior departure given priority even though checked point flight delayed hour top problem flight enough food onboard least crew clearly attempted reduce flight time minimum,1,2019-02-12,United Kingdom,True,-0.6705,Negative
1096,1099,Solo Leisure,Economy Class,Amsterdam to London,2.0,1.0,1.0,2.0,1,0,booked british airway flight amsterdam london heathrow beginning everything went normal smooth checkin boarding easy time everyone boarded problem started one another first announcement made pilot flight delay due strong wind heathrow fair enough afterwards wind problem resolved passenger decided leave take luggage received rd announcement stating computer malfunction schiphol airport best resolve caused u already min delay passenger still remained calm relaxed hell started received permission take min pilot offered passenger wish travel leave plane course many passenger travelling business guess delayed make time meeting decided leave crew warned might cause terrible delay problem passenger still decided leave group passenger left missed opportunity take pilot announced take hour flight full overseas traveller spent hour sitting plane moving anywhere people unboarded plane time total food water offered u line next bathroom purchase food drink pay overall experience terrible ruined whole plan first day london,6,2019-02-12,Netherlands,True,-0.8074,Negative
1097,1100,Couple Leisure,Premium Economy,New Orleans to London,5.0,4.0,5.0,4.0,5,1,flying premium economy british airway new orleans london absolute pleasure nine hour flight amazing experience great legroom reclining seat nice sleep low noise definitely recommend flying premium long haul,10,2019-02-12,United Kingdom,True,0.9552,Positive
1098,1101,Couple Leisure,Business Class,Tokyo Narita to London Heathrow,4.0,3.0,5.0,5.0,4,1,tokyo london looking forward flight club world ticket first time flying boeing good checkin experience breezed airport enjoyed jal lounge narita boarded time first impression boeing good modern plane nice mood lighting boarded food wine really good beautifullypresented japanese starter followed bentostyle lunch final reminder holiday wife chose western option plenty choice ife big screen downside cabin hot made difficult sleep flight problem encountered outbound journey seat comfortable reclined fully find layout ba club world little awkward step another passenger footrest access aisle cabin crew efficient seemed bit exhausted could friendly welcoming context review spoiled flew first class way tokyo amazing experience comfortable seat exemplary service cabin crew felt bit disappointed return flight comparison felt room improvement time expectation might high previous flight,8,2019-02-11,United Kingdom,True,0.9816,Positive
1099,1102,Couple Leisure,First Class,London to Tokyo Haneda,5.0,5.0,5.0,5.0,4,1,london tokyo haneda wife treated first class flight holiday japan help avios ba amex companion voucher excited flying first class dedicated checkin area heathrow great boarded time cabin disappoint grand seat lovely surroundings cabin staff looked u fantastic really took time get know u understand wanted food alcoholic drink great went beef main course followed amazing chocolate toffee pudding ready sleep food saw lot choice large screen ife wife said afterwards didnt feel like longhaul flight time passed quickly comfortably complaint cabin uncomfortably hot cruising made harder sleep,10,2019-02-11,United Kingdom,True,0.9831,Positive
1100,1103,Solo Leisure,Economy Class,London to Billund,5.0,5.0,2.7078152753108347,5.0,5,1,flying london billund today via british airway bit hesitant ive never flown airline due early morning traffic running little behind schedule kg bag also check check closed min flight departs upon arrival greeted young gentleman helpful respectful calmed reassured everything going okay stressed thinking going miss flight offered give fast track security could get gate quicker want thank made experience british airway like im grateful,5,2019-02-10,United Kingdom,True,0.9571,Positive
1101,1104,Business,Premium Economy,San Diego to Frankfurt via London,3.0,3.0,3.0,1.0,2,0,san diego frankfurt via london started trying check online h departure san diego heathrow long flight like always reserve aisle seat online checkin work reason given ok let call u hotline tried least time answer either call could completed check number due heavy call volume could process call right make act desperation today called british number lady told guess aisle seat available number tried available weekday good know need help sunday ive got strong feeling even care customer b flight san diego day ago tv screen gone way change seat great overall experience,8,2019-02-04,Germany,True,0.9601,Positive
1102,1105,Couple Leisure,Economy Class,Edinburgh to London Gatwick,3.0,4.0,2.7078152753108347,5.0,4,1,flown british airway numerous occasion issue however occasion baggage lost arrival gatwick british airway representative baggage claim however phone allowed call baggage department reclaiming lost baggage simple bag put next flight singapore received following day,10,2019-02-04,United Kingdom,True,-0.5574,Negative
1103,1106,Business,Business Class,Geneva to Philadelphia via London,2.0,3.0,1.0,1.0,1,0,flying last sunday geneva piladelphia via london business class arrived boarding gate london take flight philadelphia told sufficient business seat available overbooked choice either fly ecenomy take next flight care customer phone call email indication lounge nothing boarding gate kindly accepted take next flight plane delayed hour due technical issue arrived philadelphia suitcase british airway desk arrival late one could help finally retrieve suitcase day later broken day impossible get someone phone flight back geneva issue sufficient business class seat available clear company dont care customer care money,3,2019-02-03,France,True,-0.3147,Negative
1104,1107,Family Leisure,Economy Class,London Heathrow to Paris CDG,3.0,4.0,4.0,4.0,4,1,london heathrow paris cdg quick easy flight paris took minute reach cdg everything went well cabin clean complaint boarding way long unorganized,2,2019-02-03,United States,True,0.6808,Positive
1105,1108,Family Leisure,Business Class,Johannesburg to London,3.0,3.0,3.0,3.0,3,1,johannesburg london johannesburg used ba gallery lounge fine little busy plane boarded time hot due lack auxiliary power unit given aircraft jnb day perhaps could addressed take crew dispensed pre dinner drink went straight meal portion starter small given someone el mistake taken away given thought originally idea new club world meal involved trolley service sign main good beef dessert cheese small basic selection bed gap seat made lie flat le comfortable breakfast ok delay baggage due another aircraft technical issue seemed arrival lounge good overall average experience,3,2019-02-03,United Kingdom,True,0.7906,Positive
1106,1109,Solo Leisure,Economy Class,Edinburgh to Bangalore via Heathrow,3.0,1.0,3.0,1.0,1,0,edinburgh bangalore via heathrow rude staff poor service missing baggage poor entertainment system spilled drink attitude staff brutal apologised clumsiness made feel like deliberately done shameful act public staff would want anything asked tissue answer get toilet staff even courtesy ask needed another drink cleaned crew also extremely noisy chatting laughing loudly pantry place entire duration boarding edinburgh offered check second bag free cabin full staff wrote bangalore via heathrow bag loaded connecting flight hour gap mind,2,2019-02-02,India,True,-0.6629,Negative
1107,1110,Solo Leisure,Economy Class,Berlin to Johannesburg via London,3.0,3.0,2.0,4.0,4,1,berlin johannesburg via london short haul flight berlin london okay dont include drink snack anymore short distance flight price onboard compared lowcost carrier high engine problem flight lhr jnb delayed h british airway gave voucher compensate snack drink inside ife box window seat take big part available leg space,2,2019-02-01,Switzerland,True,-0.4019,Negative
1108,1111,Family Leisure,Economy Class,New York JFK to London Heathrow,3.0,4.0,3.0,3.0,3,1,new york jfk london heathrow british airway extremely average flight nothing stood good nothing stood bad flight smooth felt quite short cabin crew helpful everything comfortable inflight entertainment needed work,5,2019-02-01,United States,True,0.8535,Positive
1109,1112,Business,Economy Class,London to Milan ,3.0,4.0,2.0,4.0,2,0,ive always favoured british airway always try choose fly mostly decided flight time business travel always found better value cheaper airline via additonal benefit like early checkin onflight catering economy however ba stripped perk struggle see value put offering almost beside like easyjet yet pay almost double today flew back denmark sa amazing made ba look cheap get good meal board get free drink charge electronics get wifi euro outstanding,9,2019-01-31,United Kingdom,False,0.9809,Positive
1110,1113,Couple Leisure,Economy Class,New York to London via Geneva,2.0,1.0,4.0,4.0,2,0,new york london via geneva british airway plane late issue flight attendant really friendly manner seemed rush finish service chill loudly hour flight served u food min departure min started clearing even close finish eating min another staff member came took food didnt even time tell really poor service especially realise aircraft half booked actually rushing u able stop serving take nap comfortably raw empty seat next u thats call bad customer service p charged luggage buying ticket,7,2019-01-31,France,True,-0.6597,Negative
1111,1114,Couple Leisure,First Class,Johannesburg to London ,4.0,3.0,3.0,3.0,3,1,boarding always nightmare complicated occasion multiple pax wheelchair delayed showup pilot fortunately still managed take le time cabin crew responsible side first cabin personable lacked experience food served dinner mixture good mediocre warm salmon ice cold salad never pleasant experience seat first reasonably comfortable although lack privacy competitor premium cabin duvet made redundant typically overheated cabin one first toilet action make use club world loo upstairs would helpful cabin crew apologised inconvenience lack convenience comment made ife passable sound quality good one noise cancelling headphone used wifi available didnt make use breakfast unremarkable wish bread rather pastry offered deplaning delayed halfanhour early morning congestion lack stand overall reasonable flight first class,9,2019-01-30,United Kingdom,True,0.542,Positive
1112,1115,Couple Leisure,Business Class,London to Johannesburg ,3.0,4.0,4.0,3.0,3,1,seating front section club world upper deck feel marginally le cramped showing age contrast carrier full cabin also mean queue two loo although theyre lot spacious first drink dinner service took good couple hour revamped club world food definitely improvement fish option main course best food ive air white company bedding little cushion rather hard seat cabin crew generally good csm particularly visible flight breakfast improved option preselect item arrival ahead schedule,10,2019-01-30,United Kingdom,True,0.9563,Positive
